codigo_1;sigla_1;asignatura_1;codigo_2;sigla_2;asignatura_2;coordinacion_explicita;dependencia_normativa;coseno_tfidf;similitud_lsa;delta_semantico
101538;FZPEMA;FUNDAMENTOS ZOOLÓGICOS PARA EL ESTUDIO DEL MEDIO AMBIENTE;101542;SGAA;SISTEMAS DE GESTIÓN Y AUDITORÍAS AMBIENTALES;0;0;0,0194;0,7537;0,7343
101520;FB;FUNDAMENTOS DE BIOLOGÍA;101539;BBPGM;BASES BOTÁNICAS PARA LA GESTIÓN DEL MEDIOAMBIENTE;0;0;0,1050;0,8351;0,7301
101527;MC;METEOROLOGÍA Y CLIMATOLOGÍA;101555;EV;ECOFISIOLOGÍA VEGETAL;0;0;0,0182;0,7463;0,7281
101539;BBPGM;BASES BOTÁNICAS PARA LA GESTIÓN DEL MEDIOAMBIENTE;101552;ADA;ANÁLISIS DE DATOS AMBIENTALES;0;0;0,0036;0,7294;0,7258
101537;GMF;GESTIÓN DEL MEDIO FÍSICO;101553;IGA;INTERACCIÓN DE GENES Y AMBIENTE;0;0;0,0145;0,7377;0,7232
101530;AHMA;ACTIVIDADES HUMANAS Y MEDIO AMBIENTE;101537;GMF;GESTIÓN DEL MEDIO FÍSICO;0;0;0,0863;0,8090;0,7227
101520;FB;FUNDAMENTOS DE BIOLOGÍA;101548;TASP;TOXICOLOGÍA AMBIENTAL Y SALUD PÚBLICA;0;0;0,0389;0,7604;0,7215
101530;AHMA;ACTIVIDADES HUMANAS Y MEDIO AMBIENTE;101549;GE;GESTIÓN DE ECOSISTEMAS;0;0;0,0303;0,7513;0,7210
101520;FB;FUNDAMENTOS DE BIOLOGÍA;101533;TAR;TRATAMIENTO DE AGUAS RESIDUALES;0;0;0,0255;0,7453;0,7198
101520;FB;FUNDAMENTOS DE BIOLOGÍA;101532;BIA;BASES DE INGENIERIA AMBIENTAL;0;0;0,0252;0,7444;0,7192
101529;EA;ECONOMÍA AMBIENTAL;101532;BIA;BASES DE INGENIERIA AMBIENTAL;0;0;0,0122;0,7309;0,7187
101545;EST;ESTADÍSTICA;101548;TASP;TOXICOLOGÍA AMBIENTAL Y SALUD PÚBLICA;0;0;0,0170;0,7355;0,7185
101535;CSPROAI;CONTAMINACIÓN DE LOS SUELOS POR RESIDUOS ORGÁNICOS, AGRÍCOLAS E INDUSTRIALES;101559;CPMP;CONTAMINACIÓN POR METALES PESADOS;0;0;0,2391;0,9573;0,7182
101524;QA;QUÍMICA AMBIENTAL;101558;CCMC;CONTROL DE LA CONTAMINACIÓN MEDIANTE CATÁLISIS;0;0;0,0433;0,7598;0,7165
